Date,Open,High,Low,Close,VWAP
2016-03-24,203.05,204.2,202.77,204.18,203.464241
2016-03-28,204.67,204.88,203.75,204.31,204.377126
2016-03-29,203.81,206.26,203.43,206.26,205.043212
2016-03-30,207.33,207.91,206.65,207.13,207.289144
2016-03-31,206.96,207.45,206.38,206.65,206.912521
2016-04-01,205.41,208.2,205.05,207.97,206.578102
2016-04-04,207.92,208.125,206.95,207.29,207.415424
2016-04-05,205.75,206.27,204.93,205.26,205.531434
2016-04-06,205.34,207.54,205.02,207.48,206.543641
2016-04-07,206.22,206.59,204.13,204.97,205.049671
2016-04-08,206.38,206.88,204.92,205.58,205.926071
2016-04-11,206.3,207.11,204.95,205.0,206.034976
2016-04-12,205.27,207.32,204.75,207.02,206.385704
2016-04-13,208.05,209.16,207.91,209.1,208.638062
2016-04-14,209.14,209.66,208.68,209.12,209.170428
2016-04-15,209.12,209.17,208.4776,208.79,208.871117
2016-04-18,208.2,210.35,208.07,210.31,209.903618
2016-04-19,210.81,211.2799,210.02,210.95,210.747612
2016-04-20,211.03,212.0,210.48,211.11,211.369791
2016-04-21,211.21,211.33,209.73,210.06,210.471423
2016-04-22,209.64,210.35,209.0,210.03,209.661392
2016-04-25,209.37,209.69,208.61,209.66,209.190449
2016-04-26,210.13,210.5999,209.45,210.01,209.921882
2016-04-27,209.51,210.9,209.14,210.4,210.008226
2016-04-28,209.55,210.85,208.03,208.58,209.693227
2016-04-29,207.81,208.19,206.1,207.46,206.993026
2016-05-02,208.01,209.26,207.48,209.08,208.443286
2016-05-03,207.55,207.8571,206.3599,207.25,207.120429
2016-05-04,206.05,206.89,205.48,206.07,206.0551
2016-05-05,206.59,207.01,205.51,206.01,206.20875
2016-05-06,205.13,206.81,204.94,206.81,205.92681
2016-05-09,206.63,207.43,206.43,207.01,206.952722
2016-05-10,207.79,209.54,207.72,209.52,208.836321
2016-05-11,208.98,209.4,207.57,207.57,208.355731
2016-05-12,208.36,208.55,206.44,207.67,207.427715
2016-05-13,207.25,207.91,205.44,205.75,206.696963
2016-05-16,206.0,208.41,205.95,207.83,207.55448
2016-05-17,207.52,207.87,205.2864,206.0,206.360869
2016-05-18,205.48,207.35,204.69,206.02,206.071471
2016-05-19,205.08,205.58,203.8,205.29,204.671937
2016-05-20,205.99,207.16,205.9,206.54,206.631662
2016-05-23,206.55,206.9,206.04,206.26,206.446247
2016-05-24,207.25,209.32,207.2,208.94,208.689658
2016-05-25,209.75,210.85,209.71,210.35,210.472515
2016-05-26,210.56,210.81,210.05,210.43,210.439573
2016-05-27,210.61,211.31,210.56,211.3,211.001303
2016-05-31,211.66,211.8,210.27,210.97,211.048107
2016-06-01,210.25,211.58,209.99,211.37,211.00781
2016-06-02,210.91,212.06,210.33,212.06,211.286271
2016-06-03,211.34,211.8,209.98,211.35,211.035641
2016-06-06,211.82,212.88,211.62,212.52,212.365555
2016-06-07,212.66,213.46,212.62,212.77,213.089157
2016-06-08,212.94,213.64,212.81,213.45,213.319241
2016-06-09,212.62,213.35,212.32,213.2,212.784763
2016-06-10,211.58,211.97,210.54,211.19,211.193818
2016-06-13,210.48,211.48,209.44,209.52,210.372265
2016-06-14,209.12,209.8299,208.0,209.14,208.899775
2016-06-15,209.63,210.44,208.6,208.77,209.5961
2016-06-16,207.81,209.66,206.65,209.45,208.197258
2016-06-17,209.32,209.38,207.9,208.66,208.719467
2016-06-20,210.99,211.79,209.91,210.04,210.795694
2016-06-21,209.47,210.07,208.96,209.62,209.559419
2016-06-22,209.82,210.69,209.11,209.27,209.741801
2016-06-23,210.99,212.02,210.46,212.0,211.166096
2016-06-24,204.83,208.06,203.88,204.49,205.638602
2016-06-27,202.75,202.77,199.79,200.63,200.944333
2016-06-28,202.64,204.38,202.265,204.38,203.095576
2016-06-29,206.01,208.1,205.89,207.8,207.203704
2016-06-30,208.41,210.72,207.74,210.5,209.501242
2016-07-01,210.55,211.691,210.54,211.13,211.188139
2016-07-05,210.14,210.27,208.9,209.64,209.490427
2016-07-06,209.02,210.99,208.25,210.84,209.943061
2016-07-07,211.07,211.84,209.84,210.66,210.77981
2016-07-08,212.24,214.15,212.0,213.86,213.391084
2016-07-11,214.42,215.28,214.1795,214.67,214.905047
2016-07-12,215.77,216.53,215.49,216.18,216.186092
2016-07-13,216.67,216.695,215.59,216.16,216.157462
2016-07-14,217.63,217.91,216.9,217.35,217.470856
2016-07-15,218.02,218.05,216.54,217.03,217.165585
2016-07-18,217.17,217.86,216.9,217.63,217.603917
2016-07-19,217.18,217.46,216.88,217.39,217.168179
2016-07-20,217.99,218.6,217.47,218.31,218.311106
2016-07-21,218.19,218.47,216.99,217.52,217.655226
2016-07-22,217.65,218.56,217.35,218.47,218.239307
2016-07-25,218.24,218.31,217.22,217.91,217.638107
2016-07-26,217.82,218.42,217.001,218.0,217.70542
2016-07-27,218.42,218.51,216.88,217.78,217.744151
2016-07-28,217.52,218.37,217.0,218.04,217.73499
2016-07-29,217.72,218.79,217.38,218.37,218.375489
2016-08-01,218.47,218.9,217.65,218.12,218.103847
2016-08-02,217.91,218.07,215.811,216.83,216.648515
2016-08-03,216.73,217.48,216.39,217.47,217.059712
2016-08-04,217.56,218.02,217.07,217.67,217.587197
2016-08-05,218.51,219.48,218.33,219.4,219.234973
2016-08-08,219.66,219.7799,219.0,219.28,219.313684
2016-08-09,219.42,220.01,219.0576,219.42,219.541663
2016-08-10,219.6,219.67,218.47,218.88,218.90955
2016-08-11,219.54,220.2,219.21,219.89,219.900459
2016-08-12,219.56,219.97,219.26,219.71,219.614383
2016-08-15,220.15,220.76,220.15,220.37,220.558292
2016-08-16,219.86,219.93,219.23,219.25,219.587919
2016-08-17,219.27,219.79,218.28,219.65,218.991072
2016-08-18,219.6,220.16,219.48,220.16,219.875269
2016-08-19,219.59,220.01,219.0,219.82,219.67252
2016-08-22,219.55,220.055,219.09,219.75,219.587215
2016-08-23,220.51,220.88,220.16,220.21,220.515734
2016-08-24,220.06,220.17,218.64,219.17,219.530292
2016-08-25,218.66,219.45,218.48,218.95,218.928865
2016-08-26,219.16,220.39,217.5,218.56,218.763793
2016-08-29,218.71,219.91,218.64,219.6,219.560112
2016-08-30,219.55,219.8248,218.61,219.26,219.125324
2016-08-31,218.89,219.01,217.73,218.65,218.423503
2016-09-01,218.64,218.99,217.28,218.67,218.221355
2016-09-02,219.7,220.14,218.98,219.63,219.607805
2016-09-06,219.95,220.37,219.12,220.37,219.869333
2016-09-07,220.12,220.48,219.58,220.33,220.07618
2016-09-08,219.89,220.22,219.43,219.81,219.79512
2016-09-09,218.27,218.28,214.48,214.54,216.430791
2016-09-12,213.59,218.0592,213.54,217.63,216.049197
2016-09-13,216.05,216.3699,213.75,214.47,214.880879
2016-09-14,214.53,215.93,213.71,214.35,214.661466
2016-09-15,214.14,216.9699,213.96,216.52,215.82378
2016-09-16,215.78,216.0,214.87,215.62,215.42731
2016-09-19,216.49,217.21,215.34,215.73,216.311369
2016-09-20,216.71,216.91,215.69,215.75,216.231049
2016-09-21,216.55,218.36,215.76,218.16,216.844823
2016-09-22,219.36,219.88,219.0601,219.5,219.548093
2016-09-23,219.06,219.21,218.23,218.35,218.756802
2016-09-26,216.25,216.46,215.24,215.45,215.723168
2016-09-27,215.26,216.9,214.84,216.76,216.250151
2016-09-28,217.07,218.03,215.95,217.9,217.110441
2016-09-29,217.64,218.1,215.28,215.94,216.678555
2016-09-30,216.88,218.35,216.6,217.56,217.654258
2016-10-03,217.03,217.27,216.26,216.89,216.775051
2016-10-04,217.16,217.4,215.23,215.94,216.250172
2016-10-05,216.61,217.35,216.56,216.89,217.009807
2016-10-06,216.59,217.26,215.96,217.1,216.771452
2016-10-07,217.33,217.58,215.4,216.25,216.807999
2016-10-10,217.37,217.93,217.22,217.34,217.59987
2016-10-11,216.88,216.95,213.79,214.66,214.950531
2016-10-12,214.82,215.53,214.226,214.93,214.940372
2016-10-13,213.35,214.81,212.4133,214.27,213.725302
2016-10-14,215.39,215.91,214.25,214.29,214.99554
